row_id,narrative_snippet,distilbert_ACTOR_ans,distilbert_ACTOR_conf,distilbert_SYSTEM_ans,distilbert_SYSTEM_conf,distilbert_PHASE_ans,distilbert_PHASE_conf,distilbert_TRIGGER_ans,distilbert_TRIGGER_conf,distilbert_OUTCOME_ans,distilbert_OUTCOME_conf,roberta_ACTOR_ans,roberta_ACTOR_conf,roberta_SYSTEM_ans,roberta_SYSTEM_conf,roberta_PHASE_ans,roberta_PHASE_conf,roberta_TRIGGER_ans,roberta_TRIGGER_conf,roberta_OUTCOME_ans,roberta_OUTCOME_conf,aerobert_ACTOR_ans,aerobert_ACTOR_conf,aerobert_SYSTEM_ans,aerobert_SYSTEM_conf,aerobert_PHASE_ans,aerobert_PHASE_conf,aerobert_TRIGGER_ans,aerobert_TRIGGER_conf,aerobert_OUTCOME_ans,aerobert_OUTCOME_conf,agreement_roberta_distilbert_f1,agreement_roberta_aerobert_f1
0,Air carrier Captain reported an airborne conflict ,Air carrier Captain,0.8140913844108582,UAS,0.5402380772866309,departure,0.8941201567649841,airborne conflict,0.2554377317428589,airborne conflict with a UAS while on departure climb out,0.20941512286663055,UAS while on departure climb out.,1.1651825104763702e-07,UAS,0.011789585751103004,departure climb out,0.29896852374076843,airborne conflict with a UAS,0.2551851272583008,departure climb out,0.010624241083860397,UAS,0.01811849046498537,UAS,0.017741119489073753,UAS,0.017548260278999805,UAS,0.018214651849120855,UAS,0.01900602737441659,0.5333333333333333,0.3371428571428571
1,General aviation pilot reported a NMAC with a heli,General aviation pilot,0.8261886835098267,helicopter,0.43544304370880127,low level,0.6590421795845032,a NMAC with a helicopter approaching from the opposite direction,0.06416923552751541,NMAC,0.15847525000572205,helicopter,0.004956812597811222,helicopter,0.11677925288677216,low level,0.818953275680542,a helicopter,0.2203824371099472,NMAC with a helicopter approaching from the opposite direction,0.017649494111537933,direction,0.003106195479631424,direction,0.00329024251550436,direction,0.003346177516505122,direction,0.0032655694521963596,direction,0.0033577370923012495,0.5,0.05
2,Air carrier First Officer reported descending belo,Air carrier First Officer,0.7932599782943726,Level Change mode of the FMC,0.33059388399124146,Level Change,0.1444522738456726,selecting Level Change mode,0.2304050624370575,Level Change,0.38833582401275635,selecting Level Change mode of the FMC,2.9616899155371357e-06,FMC,0.00026497426279092906,glide,0.38593509793281555,selecting Level Change mode,0.10520117729902267,descending below the glide slope,0.47624072432518005,MMMX; in part due to selecting Level Change mode of,0.003964772913604975,MMMX; in part due to selecting Level Change mode of,0.003767950809560716,MMMX; in part due to selecting Level Change mode of,0.003874557325616479,MMMX; in part due to selecting Level Change mode of,0.0038719222648069263,MMMX; in part due to selecting Level Change mode of,0.0038685048930346966,0.2666666666666667,0.23928571428571432
3,Air carrier flight crew reported descent below gli,Air carrier flight crew,0.7783764004707336,Air carrier flight crew reported descent below glidepath,0.19960163533687592,descent below glidepath,0.2728104293346405,Ground Proximity Warning,0.19608230888843536,Ground Proximity Warning,0.6230401396751404,.,2.7824762582895346e-07,altimeter setting,0.1241333179641515,descent below glidepath on initial approach,0.23900426924228668,incorrect altimeter setting,0.40957778692245483,Ground Proximity Warning,0.42338138818740845,incorrect altimeter,0.0026121463160961866,incorrect altimeter,0.0025154012255370617,incorrect altimeter,0.00264432979747653,incorrect altimeter,0.0026260828599333763,glidepath on initial approach,0.0047716202680021524,0.3333333333333333,0.26
4,General aviation pilot reported during final appro,General aviation pilot,0.9531654119491577,midair collision,0.05619696155190468,landing,0.320031076669693,near midair collision,0.34194016456604004,near midair collision,0.14396147429943085,another aircraft,2.0514986317721196e-05,aircraft,3.344940341776237e-05,final approach for landing they had a near midair,0.17557862401008606,near midair collision with another aircraft,0.10342536866664886,final approach for landing,0.2001369148492813,for,0.0010669914772734046,direction,0.0010320554720237851,direction,0.0010600112145766616,that entered the traffic pattern in the opposite direction,0.0010583953699097037,direction,0.0010571613674983382,0.17777777777777776,0.0
5,General aviation pilot reported they did not follo,General aviation pilot,0.7752752900123596,ATC,0.6726323962211609,obstacle departure,0.7936535477638245,obstacle departure procedure,0.27635446190834045,ATC providing vectors to provide obstacle clearance,0.3018535077571869,ATC,0.006066408843253157,General aviation pilot reported they did not follow the assigned obstacle departure procedure,0.0015771557809785008,General aviation pilot reported they did not follow the assigned obstacle departure,0.08697322010993958,did not follow the assigned obstacle departure procedure,0.12624023854732513,ATC providing vectors to provide obstacle clearance,0.3367151916027069,General aviation,0.0033866248559206724,General aviation,0.003207596018910408,General aviation,0.0032660712022334337,General aviation,0.0032839456107467413,General aviation,0.003413147060200572,0.3815384615384615,0.11868131868131868
6,Light aircraft cargo pilot reported realizing afte,Light aircraft cargo pilot,0.9316797852516174,CFTT,0.49060404812917113,unauthorized approach into JER airport at night,0.5467934012413025,CFTT incident,0.49285662174224854,a CFTT incident,0.3778204321861267,CFTT incident.,1.3149850275340214e-07,Light aircraft,0.04053336754441261,night,0.3943636119365692,CFTT incident,0.2684943974018097,CFTT incident,0.3290092349052429,probably resulted in a,0.002227412536740303,probably resulted in a CFTT,0.0022164813708513975,probably resulted in a CFTT,0.0022286614403128624,probably resulted in a,0.0023453496396541595,probably resulted in a CFTT,0.002252699341624975,0.45,0.06666666666666667
7,ATC Approach Controller reported descending an air,the Controller,0.5910446643829346,MVA,0.6184013027814217,descending an aircraft below the MVA,0.6891224384307861,descending an aircraft below the MVA,0.21216189861297607,immediate turn to avoid the terrain,0.1939835548400879,ATC Approach Controller,0.004259103909134865,descending an aircraft,0.0070205433294177055,descending,0.40950384736061096,descending an aircraft below the MVA,0.4693334698677063,the Controller issuing an immediate turn to avoid the terrain,0.19162315130233765,the,0.0049024298787117004,the,0.004821725655347109,the,0.004900096682831645,the,0.004842561902478337,the,0.004878577310591936,0.5466666666666666,0.0
8,Flight Instructor approaching the VFR pattern repo,Flight Instructor,0.4790685474872589,enroute VFR,0.40656402707099915,Flight Instructor approaching the VFR pattern,0.3626149892807007,a NMAC with an enroute VFR aircraft,0.11975979804992676,NMAC,0.11630860716104507,Tower,0.006061287596821785,VFR aircraft,0.2063809037208557,VFR,0.2504992261528969,an enroute VFR aircraft which was not communicating with Tower,0.10775520652532578,NMAC with an enroute VFR aircraft which was not communicating with Tower,0.023863354697823524,enroute VFR aircraft which was not communicating with,0.005866507533937693,enroute VFR aircraft which was not communicating with,0.005733038065955043,enroute VFR aircraft which was not communicating with,0.005938426591455936,enroute VFR aircraft which was not communicating with,0.005777867743745446,enroute VFR aircraft which was not communicating with,0.005891569424420595,0.3142857142857143,0.4811007911936705
9,A320 pilot reported while on final approach being ,A320 pilot,0.16718128323554993,helicopter,0.8078471422195435,final approach,0.853437602519989,helicopter traffic,0.17150990664958954,reducing their descent rate,0.3795850872993469,helicopter,1.4822084267507307e-05,A320,0.03145510330796242,final approach,0.6661913990974426,helicopter traffic,0.6913972496986389,pilot receiving an TA and reducing their descent rate to avoid the traffic,0.15137092769145966,A320 pilot reported while on final approach being advised of,0.0035687669878825545,A320 pilot reported while on final approach being advised of,0.003614898887462914,final approach being advised of,0.0021985287312418222,A320 pilot reported while on final approach being advised of,0.003602451179176569,final approach being advised of,0.002094665076583624,0.5066666666666666,0.15064935064935064
